Item,Count
"Match(rule='v-obj-n', lemmes=('dénoncer', 'coup'))",1
"Match(rule='n-nmod-n', lemmes=('loi', 'immigration'))",5
"Match(rule='n-nmod-n', lemmes=('censure', 'conseil'))",1
"Match(rule='n-nmod-n', lemmes=('coup', 'État'))",1
"Match(rule='n-nmod-n', lemmes=('coup', 'droit'))",1
"Match(rule='v-obl:mod-n-case-adp', lemmes=('dénoncer', 'censure', 'après'))",1
"Match(rule='v-obj-n', lemmes=('amener', 'président'))",1
"Match(rule='v-obj-n', lemmes=('regretter', 'dévoiement'))",1
"Match(rule='v-nsubj-n', lemmes=('amener', 'décision'))",1
"Match(rule='n-nmod-n', lemmes=('juridiction', 'pays'))",1
"Match(rule='n-nmod-n', lemmes=('président', 'région'))",1
"Match(rule='n-nmod-n', lemmes=('dévoiement', 'démocratie'))",1
"Match(rule='v-xcomp-v-mark-adp', lemmes=('amener', 'regretter', 'à'))",1
"Match(rule='v-obl:mod-n-case-adp', lemmes=('regretter', 'interview', 'dans'))",1
"Match(rule='n-nmod-n', lemmes=('colère', 'agriculteur'))",1
"Match(rule='v-obj-n', lemmes=('multiplier', 'blocage'))",1
"Match(rule='v-nsubj-n', lemmes=('revenir', 'ministre'))",1
"Match(rule='n-nmod-n', lemmes=('ministre', 'intérieur'))",1
"Match(rule='n-nmod-n', lemmes=('courrol', 'monde'))",1
"Match(rule='v-obl:mod-n-case-adp', lemmes=('revenir', 'courrol', 'sur'))",1
"Match(rule='v-obl:mod-n-case-adp', lemmes=('multiplier', 'week-end', 'depuis'))",1
"Match(rule='v-obj-n', lemmes=('avoir', 'poids'))",1
"Match(rule='n-nmod-n', lemmes=('profil', 'contestataire'))",1
"Match(rule='n-nmod-n', lemmes=('réponse', 'État'))",1
"Match(rule='v-xcomp-v-mark-adp', lemmes=('accuser', 'varier', 'de'))",1
"Match(rule='v-obl:mod-n-case-adp', lemmes=('varier', 'profil', 'selon'))",1
"Match(rule='v-obl:mod-n-case-adp', lemmes=('avoir', 'réponse', 'dans'))",1
"Match(rule='v-obj-n', lemmes=('préserver', 'disposition'))",1
"Match(rule='v-nsubj-n', lemmes=('censurer', 'conseil'))",3
"Match(rule='n-nmod-n', lemmes=('tiers', 'texte'))",1
"Match(rule='n-nmod-n', lemmes=('texte', 'forme'))",1
"Match(rule='n-nmod-n', lemmes=('accord', 'droite'))",1
"Match(rule='v-xcomp-v-mark-adp', lemmes=('féliciter', 'voir', 'de'))",1
"Match(rule='v-nsubj-n-amod-adj', lemmes=('censurer', 'conseil', 'constitutionnel'))",3
